2016-10-23 15:43:31 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2016-10-23 15:43:31 INFO  Version:54 - HHH000412: Hibernate Core {4.3.10.Final}
2016-10-23 15:43:31 INFO  Environment:239 - HHH000206: hibernate.properties not found
2016-10-23 15:43:31 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2016-10-23 15:43:34 INFO  Configuration:2075 - HHH000043: Configuring from resource: /hibernate.cfg.xml
2016-10-23 15:43:34 INFO  Configuration:2094 - HHH000040: Configuration resource: /hibernate.cfg.xml
2016-10-23 15:43:34 WARN  DTDEntityResolver:75 - HHH000223: Recognized obsolete hibernate namespace http://hibernate.sourceforge.net/. Use namespace http://www.hibernate.org/dtd/ instead. Refer to Hibernate 3.6 Migration Guide!
2016-10-23 15:43:36 INFO  Configuration:2216 - HHH000041: Configured SessionFactory: null
2016-10-23 15:43:56 WARN  DriverManagerConnectionProviderImpl:93 - HHH000402: Using Hibernate built-in connection pool (not for production use!)
2016-10-23 15:43:56 INFO  DriverManagerConnectionProviderImpl:166 - HHH000401: using driver [com.mysql.jdbc.Driver] at URL [jdbc:mysql://localhost:3306/bank?useUnicode=true&characterEncoding=utf-8]
2016-10-23 15:43:56 INFO  DriverManagerConnectionProviderImpl:175 - HHH000046: Connection properties: {user=root, password=****}
2016-10-23 15:43:56 INFO  DriverManagerConnectionProviderImpl:180 - HHH000006: Autocommit mode: false
2016-10-23 15:43:57 INFO  DriverManagerConnectionProviderImpl:102 - HHH000115: Hibernate connection pool size: 20 (min=1)
2016-10-23 15:44:03 INFO  Dialect:145 - HHH000400: Using dialect: org.hibernate.dialect.MySQLDialect
2016-10-23 15:44:27 INFO  TransactionFactoryInitiator:62 - HHH000399: Using default transaction strategy (direct JDBC transactions)
2016-10-23 15:44:28 INFO  ASTQueryTranslatorFactory:47 - HHH000397: Using ASTQueryTranslatorFactory
2016-10-23 15:45:31 INFO  SchemaUpdate:207 - HHH000228: Running hbm2ddl schema update
2016-10-23 15:45:31 INFO  SchemaUpdate:218 - HHH000102: Fetching database metadata
2016-10-23 15:45:31 INFO  SchemaUpdate:230 - HHH000396: Updating schema
2016-10-23 15:45:32 INFO  TableMetadata:65 - HHH000261: Table found: bank.customer
2016-10-23 15:45:32 INFO  TableMetadata:66 - HHH000037: Columns: [birthday, firstname, fathername, nationalid, customerid, id, lastname]
2016-10-23 15:45:32 INFO  TableMetadata:68 - HHH000108: Foreign keys: []
2016-10-23 15:45:32 INFO  TableMetadata:69 - HHH000126: Indexes: [uk_56lcwbmybdry0ie1h3nayln65, uk_bi4ed0uxdcr9yy166e6l1rs3k, primary]
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: GrantCondition
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: LoanFile
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: LoanType
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: GrantCondition
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: LoanFile
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: LoanType
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: GrantCondition
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: LoanFile
2016-10-23 15:45:32 INFO  DatabaseMetaData:147 - HHH000262: Table not found: LoanType
2016-10-23 15:45:33 INFO  SchemaUpdate:267 - HHH000232: Schema update complete
2016-10-23 15:51:42 ERROR Log:37 - 
نام برای شرط اعطا مشخص نشده است.
حداقل مدت قرار داد برای شرط اعطا مشخص نشده است.
حداکثر مدت قرار داد برای شرط اعطا مشخص نشده است.
حداقل مبلغ قرار داد برای شرط اعطا مشخص نشده است.
حداکثر مبلغ قرار داد برای شرط اعطا مشخص نشده است.مشکل در ایجاد شرط اعطا:
2016-10-23 15:51:58 INFO  Log:17 - ایجاد نوع تسهیلات جدید به نام وام مسکن
2016-10-23 15:52:16 INFO  Version:66 - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2016-10-23 15:52:16 INFO  Version:54 - HHH000412: Hibernate Core {4.3.10.Final}
2016-10-23 15:52:16 INFO  Environment:239 - HHH000206: hibernate.properties not found
2016-10-23 15:52:16 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2016-10-23 15:52:19 INFO  Configuration:2075 - HHH000043: Configuring from resource: /hibernate.cfg.xml
2016-10-23 15:52:19 INFO  Configuration:2094 - HHH000040: Configuration resource: /hibernate.cfg.xml
